title,company,location,job_url,date_posted,site,category,job_type,is_remote,description,company_url
Senior Core Data Engineer - Real Time,Flow Traders,Amsterdam,https://job-boards.greenhouse.io/flowtraders/jobs/7130502,2025-12-03T09:39:55-05:00,company_career_page,Prop Trading,,False,,https://www.flowtraders.com/careers
Senior C++ Software Engineer,Flow Traders,London,https://job-boards.greenhouse.io/flowtraders/jobs/7294633,2025-12-03T09:39:55-05:00,company_career_page,Prop Trading,,False,,https://www.flowtraders.com/careers
Senior C++ Software Engineer,Flow Traders,Amsterdam ,https://job-boards.greenhouse.io/flowtraders/jobs/7095669,2025-12-03T09:39:55-05:00,company_career_page,Prop Trading,,False,,https://www.flowtraders.com/careers
Senior Go Engineer - Digital Assets,Flow Traders,Amsterdam,https://job-boards.greenhouse.io/flowtraders/jobs/7287148,2025-12-08T03:32:21-05:00,company_career_page,Prop Trading,,False,,https://www.flowtraders.com/careers
Senior Research Engineer,Flow Traders,Hong Kong,https://job-boards.greenhouse.io/flowtraders/jobs/7431246,2025-12-04T00:51:30-05:00,company_career_page,Prop Trading,,False,,https://www.flowtraders.com/careers
Senior Research Engineer,Flow Traders,London,https://job-boards.greenhouse.io/flowtraders/jobs/6082580,2025-12-08T03:32:23-05:00,company_career_page,Prop Trading,,False,,https://www.flowtraders.com/careers
Senior Research Engineer    ,Flow Traders,Chicago,https://job-boards.greenhouse.io/flowtraders/jobs/6308167,2025-12-03T09:39:55-05:00,company_career_page,Prop Trading,,False,,https://www.flowtraders.com/careers
Senior Research Engineer    ,Flow Traders,New York,https://job-boards.greenhouse.io/flowtraders/jobs/6308165,2025-12-03T09:39:55-05:00,company_career_page,Prop Trading,,False,,https://www.flowtraders.com/careers
Site Reliability Engineer,Flow Traders,Hong Kong,https://job-boards.greenhouse.io/flowtraders/jobs/6671217,2025-12-03T09:39:55-05:00,company_career_page,Prop Trading,,False,,https://www.flowtraders.com/careers
"Software Engineer, C++",Flow Traders,New York,https://job-boards.greenhouse.io/flowtraders/jobs/3773433,2025-12-03T09:39:55-05:00,company_career_page,Prop Trading,,False,,https://www.flowtraders.com/careers
